Title,Price,Rating,Colors,Size,Gender,timestamp
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-13 14:41:10
T-shirt 2,$102.15,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Women,2025-05-13 14:41:10
Hoodie 3,$496.88,Rating: ⭐ 4.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-13 14:41:10
Pants 4,$467.31,Rating: ⭐ 3.3 / 5,3 Colors,Size: XL,Gender: Men,2025-05-13 14:41:10
Outerwear 5,$321.59,Rating: ⭐ 3.5 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-13 14:41:10
Jacket 6,$153.37,Rating: ⭐ 3.3 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-13 14:41:10
Crewneck 7,$430.75,Rating: ⭐ 4.3 / 5,3 Colors,Size: M,Gender: Men,2025-05-13 14:41:10
T-shirt 8,$487.66,Rating: ⭐ 3.1 / 5,3 Colors,Size: L,Gender: Women,2025-05-13 14:41:10
Hoodie 9,$248.26,Rating: ⭐ 3.2 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-13 14:41:10
Pants 10,$193.76,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-13 14:41:10
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-13 14:41:10
Jacket 12,$532.99,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-13 14:41:10
Crewneck 13,$340.45,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Men,2025-05-13 14:41:10
T-shirt 14,$203.05,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Women,2025-05-13 14:41:10
Hoodie 15,$136.51,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-13 14:41:10
Pants 16,Price Unavailable,Rating: Not Rated,8 Colors,Size: S,Gender: Men,2025-05-13 14:41:10
Outerwear 17,$52.60,Rating: ⭐ 3.8 / 5,3 Colors,Size: M,Gender: Women,2025-05-13 14:41:10
Jacket 18,$343.75,Rating: ⭐ 3.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-13 14:41:10
Crewneck 19,$81.81,Rating: ⭐ 3.6 / 5,3 Colors,Size: XL,Gender: Men,2025-05-13 14:41:10
T-shirt 20,$82.85,Rating: ⭐ 3.4 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-13 14:41:10
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-13 14:41:13
Pants 22,$269.98,Rating: ⭐ 4.9 / 5,3 Colors,Size: M,Gender: Men,2025-05-13 14:41:13
Outerwear 23,$290.99,Rating: ⭐ 3.7 / 5,3 Colors,Size: L,Gender: Women,2025-05-13 14:41:13
Jacket 24,$513.97,Rating: ⭐ 3.9 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-13 14:41:13
Crewneck 25,$520.16,Rating: ⭐ 3.3 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-13 14:41:13
T-shirt 26,$455.77,Rating: ⭐ 4.6 / 5,3 Colors,Size: S,Gender: Women,2025-05-13 14:41:13
Hoodie 27,$221.99,Rating: ⭐ 4.8 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-13 14:41:13
Pants 28,$326.01,Rating: ⭐ 4.0 / 5,3 Colors,Size: L,Gender: Men,2025-05-13 14:41:13
Outerwear 29,$53.85,Rating: ⭐ 3.1 / 5,3 Colors,Size: XL,Gender: Women,2025-05-13 14:41:13
Jacket 30,$538.14,Rating: ⭐ 3.7 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-13 14:41:13
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-13 14:41:13
T-shirt 32,$416.12,Rating: ⭐ 3.4 / 5,3 Colors,Size: M,Gender: Women,2025-05-13 14:41:13
Hoodie 33,$453.01,Rating: ⭐ 3.5 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-13 14:41:13
Pants 34,$522.67,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Men,2025-05-13 14:41:13
Outerwear 35,$84.76,Rating: ⭐ 3.8 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-13 14:41:13
Jacket 36,$453.08,Rating: ⭐ 3.7 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-13 14:41:13
Crewneck 37,$375.38,Rating: ⭐ 4.0 / 5,3 Colors,Size: M,Gender: Men,2025-05-13 14:41:13
T-shirt 38,$304.13,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Women,2025-05-13 14:41:13
Hoodie 39,$401.95,Rating: ⭐ 4.6 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-13 14:41:13
Pants 40,$365.85,Rating: ⭐ 3.1 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-13 14:41:13
